Path,English,Hindi,Chinese
draftphoto/00.jpeg,TRUE,TRUE,TRUE
draftphoto/01.jpeg,"Welcome to 5050, a robot world!! R1-9 Sleeping in peace","५०५० में आपका स्वागत है, एक रोबोट दुनिया !! आर १-९ शांति से सो रहा है",欢迎来到5050，一个机器人世界！ R1-9和平睡觉
draftphoto/02.jpeg,Evil Robots looking at R1-9 sleeping in peace,ईविल रोबोट आर १-९ को शांति से सोते हुए देख रहे हैं,邪恶的机器人看着R1-9和平睡觉
draftphoto/03.jpeg,Let’s have some fun and tie him up!,चलो कुछ मज़ा करते है और उसे बाँधो!,让我们玩一些乐趣，将他绑起来！
draftphoto/04.jpeg,"R1-9: Please leave me, don't tie me ","आर १-९: कृपया मुझे छोड़ दो, मुझे मत बांधो",R1-9：请离开我，不要绑我
draftphoto/05.jpeg,Let's play a prank and throw R1-9 in a broken time machine,चलो एक प्रैंक खेलते हैं और एक टूटी हुई टाइम मशीन में आर १-९ को फेंकते हैं,让我们恶作剧，在破损的时间机器中扔R1-9
draftphoto/06.jpeg,Time Machine,टाइम मशीन,时光机器
draftphoto/07.jpeg,R1-9: Somebody save me please!,आर १-९: कृपया! कोई मुझे बचाये  ,R1-9：请有人救我！
draftphoto/08.jpeg,R1-9: Please untie me,आर १-९: कृपया मुझे अनटाइज़ करें,R1-9：请解开我
draftphoto/09.jpeg,Evil robot pulls trigger of broken time machine actaully works,ईविल रोबोट ट्रिगर खींचता है और खराब टाइम मशीन वाकयी काम करता है,邪恶的机器人拉动扳机，并功
draftphoto/10.jpeg,TRUE,TRUE,TRUE
draftphoto/11.jpeg,TRUE,TRUE,TRUE
draftphoto/12.jpeg,Dr. Alex: What if robots can understand human behaviour,डॉ। एलेक्स: क्या होगा अगर रोबोट मानव व्यवहार को समझ सकते हो,亚历克斯博士：如果机器人可以理解人类行为怎么办
draftphoto/13.jpeg,Dr. Alex: Let’s make it happen ,डॉ। एलेक्स: चलो इसे बनाते हैं,亚历克斯博士：让它实现
draftphoto/14.jpeg,Dr. Alex: I know you will change the world,डॉ। एलेक्स: मुझे पता है कि आप दुनिया को बदल देंगे,亚历克斯博士：我知道你会改变世界
draftphoto/15.jpeg,Dr. Hailey: We will rule the world with our robot,डॉ। हैली: हम अपने रोबोट के साथ दुनिया पर शासन करेंगे,海莉博士：我们将用机器人统治世界
draftphoto/16.jpeg,Dr. Viktoria: Why the hell this code is not working?,डॉ। विक्टोरिया: क्यों यह कोड काम नहीं कर रहा है?,Viktoria博士：为什么这个代码无法正常工作？
draftphoto/17.jpeg,Dr. Viktoria: Can you see what’s going wrong?,डॉ। विक्टोरिया: क्या आप देख सकते हैं कि क्या गलत हो रही है?,Viktoria博士：您能看到出了什么问题吗？
draftphoto/18.jpeg,Dr. Hailey: This will help us rule the world,डॉ। हैली: इससे हमें दुनिया पर शासन करने में मदद मिलेगी,海莉博士：这将帮助我们统治世界
draftphoto/19.jpeg,Dr. Viktoria: This isn’t working,डॉ। विक्टोरिया: यह काम नहीं कर रहा है,Viktoria博士：这不起作用
draftphoto/20.jpeg,Dr. Hailey: Why is our RoboX not working?,डॉ। हैली: हमारा रोबॉक्स काम क्यों नहीं कर रहा है?,Hailey博士：为什么我们的robox不起作用？
draftphoto/21.jpeg,Gets a Robo Summit email,एक रोबो शिखर सम्मेलन का ईमेल मिलता है,获取机器人峰会电子邮件
draftphoto/22.jpeg,Goes to Robo Summit,रोबो समिट में जाते है,去机器人峰会
draftphoto/23.jpeg,Entering the Robot Summit,रोबोट शिखर सम्मेलन में प्रवेश,进入机器人峰会
draftphoto/24.jpeg,,,
draftphoto/25.jpeg,,,
draftphoto/26.jpeg,Enters Robo Summit,रोबो शिखर सम्मेलन में प्रवेश करते है,进入机器人峰会
draftphoto/27.jpeg,Dr. Alex: Presenting you the R1-9,डॉ। एलेक्स: आर १-९ आपको प्रस्तुत है,Alex博士：向您介绍R1-9
draftphoto/28.jpeg,Dr. Viktoria: We need to do something,डॉ। विक्टोरिया: हमें कुछ करने की जरूरत है,维克托里亚博士：我们需要做点什么
draftphoto/29.jpeg,,,
draftphoto/30.jpeg,Dr. Hailey: I have an idea,डॉ। हैली: मेरे पास एक विचार है,海莉博士：我有一个主意
draftphoto/31.jpeg,Dr. Viktoria: What's the idea?,डॉ। विक्टोरिया: क्या विचार है?,Viktoria博士：这是什么主意？
draftphoto/32.jpeg,Dr. Hailey: We can visit his lab and change the codebase,डॉ। हैली: हम उनकी प्रयोगशाला में जा सकते हैं और कोडबेस बदल सकते हैं,海莉博士：我们可以访问他的实验室并更改代码库
draftphoto/33.jpeg,"Dr. Viktoria: Good idea, lets go","डॉ। विक्टोरिया: अच्छा विचार, चलो चलते हैं",维克托里亚博士：好主意，放手
draftphoto/34.jpeg,Walking to Dr. Alex's Lab,डॉ। एलेक्स की लैब की ओर,步行到亚历克斯博士的实验室
draftphoto/35.jpeg,,,
draftphoto/36.jpeg,Dr. Alex's Lab ,डॉ। एलेक्स की लैब,亚历克斯博士的实验室
draftphoto/37.jpeg,Looking at Dr. Alex,डॉ। एलेक्स को देखते हुए,看亚历克斯博士
draftphoto/38.jpeg,Dr. Viktoria: We will destroy his plan,डॉ। विक्टोरिया: हम उनकी योजना को नष्ट कर देंगे,维克托里亚博士：我们将摧毁他的计划
draftphoto/39.jpeg,Dr. Hailey: Lets wait for Dr.Alex to go back to home,डॉ। हैली: डॉ। एलेक्स के घर वापस जाने के लिए इंतजार करते हैं,Hailey博士：让我们等待Alex博士回到家
draftphoto/40.jpeg,Dr. Hailey looking at Dr. Alex's Robo design plan ,डॉ। हैली डॉ। एलेक्स के रोबो डिजाइन योजना को देख रहे हैं,海莉博士看着亚历克斯博士的机器人设计计划
draftphoto/41.jpeg,Dr. Viktoria looking at the code design and structure of Robo,डॉ। विक्टोरिया रोबो के कोड डिजाइन और संरचना को देख रहे हैं,Viktoria博士看Robo的代码设计和结构
draftphoto/42.jpeg,"Dr. Hailey: See that, its his research work","डॉ। हैली: यह देखें , उसका शोध कार्य",海莉博士：看，这是他的研究工作
draftphoto/43.jpeg,Dr. Hailey: I’ll won’t let him win,डॉ। हैली: मैं उसे जीतने नहीं दूंगा,海莉博士：我不会让他赢
draftphoto/44.jpeg,Dr. Alex lab destroyed by Malfunctioned Robos,डॉ। एलेक्स की लैब खराबी रोबोस द्वारा नष्ट कर दी गई,亚历克斯博士被故障机器人摧毁
draftphoto/45.jpeg,Humanity ends now : Evil Robos attacks humans ,मानवता अब समाप्त होती है: ईविल रोबोस मनुष्यों पर हमला करता है,人类现在结束：邪恶的机器人攻击人类
draftphoto/46-1.jpeg,Present- 2024 : R1-9 Landed ,वर्तमान- २०२४: आर १-९ लैंडेड,现在-2024：R1-9降落
draftphoto/46-2.jpeg,R1-9: Who are they? Are they Humans?,आर १-९: वे कौन हैं? क्या वे मनुष्य हैं?,R1-9：他们是谁？他们是人吗？
draftphoto/47.jpeg,R1-9: Do humans look like this?,आर १-९: क्या इंसान ऐसे दिखते हैं?,R1-9：它们看起来像这样，这就是人类世界过去的样子吗？
draftphoto/48.jpeg,R1-9 Thinking about what could have happened,आर १-९: सोच रहा हूँ क्या हो सकता था,R1-9：知道他们会死的事实，为什么我会感到难过
draftphoto/49.jpeg,R1-9: What’s this exhibition? Why is it written 2024?,आर १-९: यह प्रदर्शनी क्या है? इसे २०२४ क्यों लिखा गया है?,R1-9：这个展览是什么？为什么写2024？
draftphoto/50.jpeg,R1-9: Lets go inside,आर १-९: चलो अंदर जाएं,R1-9：让我们进去
draftphoto/51-1.jpeg,R1-9: Are they talking about me and Dr. Alex? Is this 2024?,आर १-९: क्या वे मेरे और डॉ। एलेक्स के बारे में बात कर रहे हैं? क्या यह २०२४ है?,R1-9：他们是在谈论我和亚历克斯博士吗？这是2024年吗？
draftphoto/51-2.jpeg,R1-9 Lets hear what they are saying,आर १-९ सुनते है कि वे क्या कह रहे हैं,R1-9让我们听听他们在说什么
draftphoto/52.jpeg,"R1-9: Thats really dangerous, they are going to manipulate the code","आर १-९: वास्तव में खतरनाक है, वे कोड में हेरफेर करने जा रहे हैं।",R1-9：那真的很危险，他们将操纵代码。
draftphoto/53.jpeg,R1-9: Need to inform Dr. Alex about their plan,आर १-९: डॉ। एलेक्स को उनकी योजना के बारे में सूचित करने की आवश्यकता है,R1-9：需要告知Alex博士他们的计划
draftphoto/54.jpeg,Dr. Alex's Lab ,डॉ। एलेक्स की लैब,亚历克斯博士的实验室
draftphoto/55.jpeg,R1-9 Walking to Dr. Alex Lab,आर १-९ डॉ। एलेक्स लैब की ओर,R1-9步行到Alex博士
draftphoto/56.jpeg,R1-9 calls out Dr. Alex from behind,आर १-९ ने पीछे से डॉ। एलेक्स को बुलाया,R1-9从后面召集Alex博士
draftphoto/57.jpeg,Dr. Alex is shocked seeing R1-9,डॉ। एलेक्स आर १-९ को देखकर हैरान है,Alex博士看到R1-9感到震惊
